"","IFN3_ID","Provincia","Estadillo","Clase","Subclase","PosEsp","Especie","Ocupa","Estado","FPMasa","Edad","FInfor","Fiabil","Barrena1","Barrena2","Barrena3","AltPer","OrgMasa1","OrgMasa2","TratMasa","INVENTORY_ID","PLOT_ID","Origen","CoorX","Coory","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosid","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Tecnico"
"11","9_2561_A_1",9,2561,"A","1",3,38,1,2,3,0,NA,NA,NA,NA,NA,NA,1,"1",1,"IFN3","9_2561",9,NA,NA,0,1982,"04","4984","1997","","4-4","2003","279",1,"1","2",100,75,1,3,1,2,3,4,"04/10/03 00:00:00","12/30/99 12:46:00",1,2,1,1,1,2,NA,NA,"3","N","G","3","",114,0,1,0,2,"1",1,"PARCELA LOCALIZADA A TRAVES DE FOTOGRAFIAS Y PIES MAYORES        INFO2.
PARCELA SIN LIMITACIONES PARA SU MECANIZACION.
LIGEROS RESTOS DE CORTAS.
HAY LIGERA PROCESIONARIA.
0117 HALIMIUM    UMBELLATUM.
REFERENCIA: 136.8M DESDE CRUCE DE CORTAFUEGOS Y   LUEGO 100.7M A 139G PARA  PARCELA.
SUBPISO: ENCINA, SABINA Y     ENEBRO. ALREDEDORES HAY ENDRINO.

AGENTE  322: ARBS.  CORTADOS  Y DEJADOS DE MOMENTO.
AGENTE  311: PERFORADORES.
COMPROBADA FORMA ARB. 2.
ARBS. NO ENTRAN POR DIAM. A 35 Y 338G.
ARB. NO ENTRA POR DIST. A   212G.

FUERA 10 M. HAY LAVANDA Y  ARTEMISA.",5,27,"04/10/03 00:00:00","12/30/99 10:57:05","04/10/03 00:00:00","12/30/99 12:51:00",114,"018","325","018","20",179510,10,31,179510,9,32,1
"12","9_748_A_3E",9,748,"A","3E",1,25,7,3,2,30,5,4,NA,NA,NA,NA,2,"A",1,"IFN3","9_748",9,NA,NA,0,1997,"","1-1","1985","J","0004","2003","217",1,"1","2",95,80,1,3,1,1,3,5,"04/09/03 00:00:00","12/30/99 15:20:00",1,1,1,1,7,1,NA,NA,"0","0","","0","",41,0,8.2,0,1,"2",2,"PARCELA IMPLANTADA MEDIANTE ORTOFOTO.     EL SUBPISO ES DE 237 Y 037. 10% PARA  EL    RESTO DE ESPECIES. A 47
Y 178  GRADOS  PIES NO ENTRAN POR  DIAMETRO.  PIE 18  MEDIDO A 1.20.
 A MAS DE 25  METROS HAY  PINASTER Y ENCINA.",12,74,"04/09/03 00:00:00","12/30/99 12:54:21","04/09/03 00:00:00","12/30/99 15:37:42",163,"238","015","308","07",179374,28,13,179374,27,14,3
"13","9_748_A_3E",9,748,"A","3E",2,237,1,2,4,0,NA,NA,NA,NA,NA,NA,1,"1",1,"IFN3","9_748",9,NA,NA,0,1997,"","1-1","1985","J","0004","2003","217",1,"1","2",95,80,1,3,1,1,3,5,"04/09/03 00:00:00","12/30/99 15:20:00",1,1,1,1,7,1,NA,NA,"0","0","","0","",41,0,8.2,0,1,"2",2,"PARCELA IMPLANTADA MEDIANTE ORTOFOTO.     EL SUBPISO ES DE 237 Y 037. 10% PARA  EL    RESTO DE ESPECIES. A 47
Y 178  GRADOS  PIES NO ENTRAN POR  DIAMETRO.  PIE 18  MEDIDO A 1.20.
 A MAS DE 25  METROS HAY  PINASTER Y ENCINA.",12,74,"04/09/03 00:00:00","12/30/99 12:54:21","04/09/03 00:00:00","12/30/99 15:37:42",163,"238","015","308","07",179374,28,13,179374,27,14,3
"14","9_748_A_3E",9,748,"A","3E",3,37,1,2,4,0,NA,NA,NA,NA,NA,NA,1,"1",1,"IFN3","9_748",9,NA,NA,0,1997,"","1-1","1985","J","0004","2003","217",1,"1","2",95,80,1,3,1,1,3,5,"04/09/03 00:00:00","12/30/99 15:20:00",1,1,1,1,7,1,NA,NA,"0","0","","0","",41,0,8.2,0,1,"2",2,"PARCELA IMPLANTADA MEDIANTE ORTOFOTO.     EL SUBPISO ES DE 237 Y 037. 10% PARA  EL    RESTO DE ESPECIES. A 47
Y 178  GRADOS  PIES NO ENTRAN POR  DIAMETRO.  PIE 18  MEDIDO A 1.20.
 A MAS DE 25  METROS HAY  PINASTER Y ENCINA.",12,74,"04/09/03 00:00:00","12/30/99 12:54:21","04/09/03 00:00:00","12/30/99 15:37:42",163,"238","015","308","07",179374,28,13,179374,27,14,3
"15","9_808_A_1",9,808,"A","1",1,26,6,3,2,20,5,4,NA,NA,NA,NA,1,"1",1,"IFN3","9_808",9,NA,NA,0,1985,"K","0005","1997","","1-4","2003","238",1,"1","1",95,60,1,3,2,2,2,4,"05/26/03 00:00:00","12/30/99 12:24:00",1,2,1,1,7,3,NA,NA,"0","0","","0","",55,0,14.5,0,3,"3",3,"REJON ENCONTRADO POR PIES DEL IFN2. DEJO UN 10% AL RESTO DE    ESPECIES. SUBPISO DE TODAS LAS ESPECIES BAJO EL PINAR. HUBO UN INCENDIO HACE TIEMPO Y LA  MASA ESTA REGENERANDO. A  103  G.  NO   ENTRA 026 POR DIAMETROS. A  111 G. NO ENTRA 026 POR  DIAMETROS.  PIES 13, 15 Y 16 ALTURA  A CINTA POR TUMBADOS. PIE 17 ENTRA  POR     PENDIENTE. A 212 G. NO ENTRA 026 POR  DIAMETROS. A 204 G. NO   ENTRA 026 POR  DIAMETROS. PIE 19  ALTURA A CINTA. PIE 22 ENTRA POR  PENDIENTE. PIE 23 ENTRA POR PENDIENTE. PIE 24 ENTRA POR PENDIENTE. A 333 G. NO ENTRA 026 POR DIAMETROS.",22,64,"05/26/03 00:00:00","12/30/99 10:36:12","05/26/03 00:00:00","12/30/99 12:28:54",113,"238","190","255","07",352800,10,31,352800,9,32,3
"16","9_808_A_1",9,808,"A","1",2,44,2,2,3,0,NA,NA,NA,NA,NA,NA,1,"4",2,"IFN3","9_808",9,NA,NA,0,1985,"K","0005","1997","","1-4","2003","238",1,"1","1",95,60,1,3,2,2,2,4,"05/26/03 00:00:00","12/30/99 12:24:00",1,2,1,1,7,3,NA,NA,"0","0","","0","",55,0,14.5,0,3,"3",3,"REJON ENCONTRADO POR PIES DEL IFN2. DEJO UN 10% AL RESTO DE    ESPECIES. SUBPISO DE TODAS LAS ESPECIES BAJO EL PINAR. HUBO UN INCENDIO HACE TIEMPO Y LA  MASA ESTA REGENERANDO. A  103  G.  NO   ENTRA 026 POR DIAMETROS. A  111 G. NO ENTRA 026 POR  DIAMETROS.  PIES 13, 15 Y 16 ALTURA  A CINTA POR TUMBADOS. PIE 17 ENTRA  POR     PENDIENTE. A 212 G. NO ENTRA 026 POR  DIAMETROS. A 204 G. NO   ENTRA 026 POR  DIAMETROS. PIE 19  ALTURA A CINTA. PIE 22 ENTRA POR  PENDIENTE. PIE 23 ENTRA POR PENDIENTE. PIE 24 ENTRA POR PENDIENTE. A 333 G. NO ENTRA 026 POR DIAMETROS.",22,64,"05/26/03 00:00:00","12/30/99 10:36:12","05/26/03 00:00:00","12/30/99 12:28:54",113,"238","190","255","07",352800,10,31,352800,9,32,3
"17","9_808_A_1",9,808,"A","1",3,68,1,2,3,0,NA,NA,NA,NA,NA,NA,1,"4",2,"IFN3","9_808",9,NA,NA,0,1985,"K","0005","1997","","1-4","2003","238",1,"1","1",95,60,1,3,2,2,2,4,"05/26/03 00:00:00","12/30/99 12:24:00",1,2,1,1,7,3,NA,NA,"0","0","","0","",55,0,14.5,0,3,"3",3,"REJON ENCONTRADO POR PIES DEL IFN2. DEJO UN 10% AL RESTO DE    ESPECIES. SUBPISO DE TODAS LAS ESPECIES BAJO EL PINAR. HUBO UN INCENDIO HACE TIEMPO Y LA  MASA ESTA REGENERANDO. A  103  G.  NO   ENTRA 026 POR DIAMETROS. A  111 G. NO ENTRA 026 POR  DIAMETROS.  PIES 13, 15 Y 16 ALTURA  A CINTA POR TUMBADOS. PIE 17 ENTRA  POR     PENDIENTE. A 212 G. NO ENTRA 026 POR  DIAMETROS. A 204 G. NO   ENTRA 026 POR  DIAMETROS. PIE 19  ALTURA A CINTA. PIE 22 ENTRA POR  PENDIENTE. PIE 23 ENTRA POR PENDIENTE. PIE 24 ENTRA POR PENDIENTE. A 333 G. NO ENTRA 026 POR DIAMETROS.",22,64,"05/26/03 00:00:00","12/30/99 10:36:12","05/26/03 00:00:00","12/30/99 12:28:54",113,"238","190","255","07",352800,10,31,352800,9,32,3
"18","9_817_A_1",9,817,"A","1",1,25,5,3,2,30,5,4,NA,NA,NA,NA,2,"J",1,"IFN3","9_817",9,NA,NA,0,1985,"K","0009","1997","","2-3","2003","134",1,"1","2",85,60,1,3,2,2,2,4,"05/21/03 00:00:00","12/30/99 15:02:00",1,2,1,1,7,1,NA,NA,"0","G","N","3","",325,0,4.8,0,2,"2",2,"REJON ENCONTRADO POR PIES DEL IFN2.  DEJO UN 20% AL RESTO DE ESPECIES. SUBPISO DE ENEBRO Y RESTO DE ESPECIES.  A 225  G. NO ENTRA 025 POR DIAMETROS. A 249 G.  NO ENTRA 025 POR DISTANCIA LATERAL. LOS  RESTOS DE LAS PODAS Y LOS CLAREOS ESTAN  POR LA ZONA.",22,64,"05/21/03 00:00:00","12/30/99 13:36:54","05/21/03 00:00:00","12/30/99 15:10:26",94,"238","230","350","10",352800,20,21,352800,19,22,3
"19","9_817_A_1",9,817,"A","1",2,237,2,2,3,0,NA,NA,NA,NA,NA,NA,1,"4",2,"IFN3","9_817",9,NA,NA,0,1985,"K","0009","1997","","2-3","2003","134",1,"1","2",85,60,1,3,2,2,2,4,"05/21/03 00:00:00","12/30/99 15:02:00",1,2,1,1,7,1,NA,NA,"0","G","N","3","",325,0,4.8,0,2,"2",2,"REJON ENCONTRADO POR PIES DEL IFN2.  DEJO UN 20% AL RESTO DE ESPECIES. SUBPISO DE ENEBRO Y RESTO DE ESPECIES.  A 225  G. NO ENTRA 025 POR DIAMETROS. A 249 G.  NO ENTRA 025 POR DISTANCIA LATERAL. LOS  RESTOS DE LAS PODAS Y LOS CLAREOS ESTAN  POR LA ZONA.",22,64,"05/21/03 00:00:00","12/30/99 13:36:54","05/21/03 00:00:00","12/30/99 15:10:26",94,"238","230","350","10",352800,20,21,352800,19,22,3
"20","9_817_A_1",9,817,"A","1",3,26,1,4,2,30,5,4,NA,NA,NA,NA,2,"J",1,"IFN3","9_817",9,NA,NA,0,1985,"K","0009","1997","","2-3","2003","134",1,"1","2",85,60,1,3,2,2,2,4,"05/21/03 00:00:00","12/30/99 15:02:00",1,2,1,1,7,1,NA,NA,"0","G","N","3","",325,0,4.8,0,2,"2",2,"REJON ENCONTRADO POR PIES DEL IFN2.  DEJO UN 20% AL RESTO DE ESPECIES. SUBPISO DE ENEBRO Y RESTO DE ESPECIES.  A 225  G. NO ENTRA 025 POR DIAMETROS. A 249 G.  NO ENTRA 025 POR DISTANCIA LATERAL. LOS  RESTOS DE LAS PODAS Y LOS CLAREOS ESTAN  POR LA ZONA.",22,64,"05/21/03 00:00:00","12/30/99 13:36:54","05/21/03 00:00:00","12/30/99 15:10:26",94,"238","230","350","10",352800,20,21,352800,19,22,3
"21","9_86_A_1",9,86,"A","1",1,26,5,4,1,40,7,3,NA,NA,NA,NA,2,"J",1,"IFN3","9_86",9,NA,NA,0,1985,"L","0009","1997","","4-1","2003","215",1,"1","2",100,70,1,2,3,1,2,4,"06/12/03 00:00:00","12/30/99 10:27:00",1,2,1,1,5,9,NA,NA,"3","O","","0","",387,0,6.5,0,2,"1",2,"NO DOY OCUPACION A RESTANTES ESPECIES.
PINO SILVESTRE A 15.4M Y 190G NO ENTRA  POR MUY POCO.
NO HAY REGENERACION EN 5M.",15,17,"06/12/03 00:00:00","12/30/99 08:51:34","06/12/03 00:00:00","12/30/99 10:32:55",101,"124","286","276","10",353363,10,31,353363,9,32,4
"22","9_86_A_1",9,86,"A","1",2,21,4,4,1,30,7,3,NA,NA,NA,NA,2,"J",1,"IFN3","9_86",9,NA,NA,0,1985,"L","0009","1997","","4-1","2003","215",1,"1","2",100,70,1,2,3,1,2,4,"06/12/03 00:00:00","12/30/99 10:27:00",1,2,1,1,5,9,NA,NA,"3","O","","0","",387,0,6.5,0,2,"1",2,"NO DOY OCUPACION A RESTANTES ESPECIES.
PINO SILVESTRE A 15.4M Y 190G NO ENTRA  POR MUY POCO.
NO HAY REGENERACION EN 5M.",15,17,"06/12/03 00:00:00","12/30/99 08:51:34","06/12/03 00:00:00","12/30/99 10:32:55",101,"124","286","276","10",353363,10,31,353363,9,32,4
"23","9_86_A_1",9,86,"A","1",3,43,1,3,4,0,NA,NA,NA,NA,NA,NA,1,"4",2,"IFN3","9_86",9,NA,NA,0,1985,"L","0009","1997","","4-1","2003","215",1,"1","2",100,70,1,2,3,1,2,4,"06/12/03 00:00:00","12/30/99 10:27:00",1,2,1,1,5,9,NA,NA,"3","O","","0","",387,0,6.5,0,2,"1",2,"NO DOY OCUPACION A RESTANTES ESPECIES.
PINO SILVESTRE A 15.4M Y 190G NO ENTRA  POR MUY POCO.
NO HAY REGENERACION EN 5M.",15,17,"06/12/03 00:00:00","12/30/99 08:51:34","06/12/03 00:00:00","12/30/99 10:32:55",101,"124","286","276","10",353363,10,31,353363,9,32,4
